shade_id,product_id,hex,shade_name,shade_specific,skintone,undertone,shade_specific_raw,name
104416,228,#663213,Deep Neutral Warm 410 Deep with Neutral golden undertones,410,Deep,Neutral Warm,Deep,Deep Neutral Warm
104417,228,#6f2e1b,Rich Deep Cool 420 Rich Deep with Neutral red undertones,420,Rich,Cool,Rich,Deep Cool
104418,228,#62300f,Rich Deep Neutral Olive 430 Rich Deep with Neutral olive undertones,430,Rich Deep,Neutral Olive,Rich,Deep Neutral Olive
104419,228,#4e2b15,Rich Deep Neutral 440 Rich Deep with Neutral red undeDeep Neutral Oliveutral Red Undertones,440,"","",NULL,Rich Deep Neutral
104420,228,#3e2215,Rich Deep Neutral 450 Rich Deep with Neutral undertones,450,Rich,Neutral,Rich,Deep Neutral
104421,229,#ebd3bd,Revive very light silver champagne,NA,Very Light,NA,Revive,Very Light Silver Champagne
104422,229,#ecc9b4,Spark pearly light champagne,NA,Light,NA,Spark,Pearly Light Champagne
104423,229,#d7a78b,Illuminate light pink champagne,NA,Light,Pink,Illuminate,Light Pink Champagne
104424,229,#e7b994,Radiate light medium golden,NA,Light Medium,Golden,Radiate,Radiate
104425,229,#d9a170,Boost pearly medium rose gold,NA,Medium,NA,Boost,Boost
104426,229,#b67e5e,Awaken pearly medium tan,NA,Medium Tan,NA,Awaken,Awaken
104427,229,#a66a4b,Recharge pearly deep tan,NA,Deep,NA,Recharge,Recharge
104428,229,#854923,Energize pearly deep copper bronze,NA,Deep,NA,Energize,Energize
104429,229,#753d17,Revitalize pearly deep bronze,NA,Deep,NA,Revitalize,Revitalize
104430,229,#512c1c,Reflect pearly rich deep bronze,NA,Rich,NA,Reflect,Reflect
104431,230,#f3e2d1,Tone 0.5 N very light with Neutral undertones,0.5,Very Light,Neutral,Tone,NA
104432,230,#fce4dc,Tone 0.7 C very light with cool pink undertones,0.7C,Very Light,Cool,Tone,NA
104433,230,#eedccc,Tone 01 N very light with Neutral peach undertones,01N,Very Light,Neutral Peach,Tone,NA
104434,230,#f6ded4,Tone 1.5 C light with pink undertones,02W,Light,Pink,Tone,NA
104435,230,#f2dccb,Tone 02 W light with yellow undertones,2.3N,Light,Yellow,Tone,NA
104436,230,#f3e2d1,Tone 2.3 N light with Neutral undertones,2.6C,Light,Neutral,Tone,NA
104437,230,#fee0d4,Tone 2.5 C light with cool peach undertones,03W,Light,Cool,Tone,NA
104438,230,#fddfd4,Tone 2.6 C light with cool pink undertones,04N,Light,Cool,Tone,NA
104439,230,#f0cfb6,Tone 03 W light with subtle golden undertones,05W,Light,Golden,Tone,NA
104440,230,#eed0ba,Tone 3.2 O light + with Neutral olive undertones,06O,Light,Neutral Olive,Tone,NA
104441,230,#f3cfb9,Tone 3.5 W light + with peachy golden undertones,6.8W,Light,Peach,Tone,NA
104442,230,#fcd1c2,Tone 3.6 C light + with cool pink undertones,07N,Light,Cool,Tone,NA
104443,230,#fbd2b7,Tone 3.8 N light medium with Neutral peach undertones,7.8N,Light Medium,Neutral Peach,Tone,NA
104444,230,#ead1b5,Tone 04 N light medium with Neutral yellow undertones,08W,Light Medium,Neutral Yellow,Tone,NA
104445,230,#f9d3c0,Tone 4.5 N light medium with subtle pink undertones,8.7N,Light Medium,Pink,Tone,NA
104446,230,#e7bf9d,Tone 05 W medium with golden undertones,NA,Medium,Golden,Tone,NA
104447,230,#d7a78c,Tone 5.3 C medium with cool peach undertones,5.3C,Medium,Cool Peach,Tone,NA
104448,230,#e3c196,Tone 5.5 O medium with subtle olive undertones,5.5O,Medium,NA,Tone,NA
104449,230,#efbb94,Tone 5.8 N medium with Neutral undertones,5.5N,Medium,Neutral,Tone,NA
104450,230,#cb8f6b,Tone 06 O medium tan with olive undertones,NA,Medium Tan,NA,Tone,NA
104451,230,#e6a67c,Tone 6.2 N medium tan with Neutral peach undertones,6.2N,Medium Tan,Neutral Peach,Tone,NA
104452,230,#e2af95,Tone 6.3 N medium tan with Neutral pink undertones,6.3N,Medium Tan,Neutral Pink,Tone,NA
104453,230,#ddb68c,Tone 6.5 O medium tan with Neutral olive undertones,6.50,Medium Tan,Neutral Olive,Tone,NA
104454,230,#e8a370,Tone 6.8 W medium tan with Warm peach undertones,NA,Medium Tan,Warm,Tone,NA
104455,230,#cb8d66,Tone 07 N medium deep with Neutral Warm undertones,NA,Medium Deep,Neutral Warm,Tone,NA
104456,230,#d39666,Tone 7.3 N medium deep with Neutral peach undertones,7.3N,Medium Deep,Neutral Peach,Tone,NA
104457,230,#d0854a,Tone 7.5 W medium deep with subtle peach undertones,7.5,Medium Deep,Peach,Tone,NA
104458,230,#b87e4d,Tone 7.8 N medium deep with Neutral undertones,7.8N,Medium Deep,Neutral,Tone,NA
104459,230,#cb8256,Tone 08 W medium deep with golden undertones,08W,Medium Deep,Golden,Tone,NA
104460,230,#bc7250,Tone 8.1 O medium deep with Neutral olive undertones,8.1,Medium Deep, Neutral Olive,Tone,NA
104461,230,#9e5731,Tone 8.2 W deep with golden undertones,8.2W,Deep,Golden,Tone,NA
104462,230,#a55837,Tone 8.5 C deep with cool peach undertones,8.5C,Deep,Cool,Tone,NA
104463,230,#824531,Tone 8.7 N deep with Neutral golden undertones,8.7N,Deep,Neutral,Tone,NA
104464,230,#66331e,Tone 8.8 N deep with Neutral olive undertones,8.8N,Deep,Neutral Olive,Tone,NA
104465,230,#613c28,Tone 9.1 N deep with Neutral undertones,9.1N,Deep,Neutral,Tone,NA
104466,230,#703d25,Tone 9.5 N deep with Neutral red undertones,9.5N,Deep,Neutral,Tone,NA
104467,230,#66351f,Tone 10 W rich deep with golden undertones,10W,Rich Deep,Golden,Tone,NA
104468,230,#4c2c20,Tone 10.5 N rich deep with Neutral undertones,10.5N,Rich,Neutral,Tone,NA
104469,231,#4e291a,Mishti Magic rich deep with Neutral cool undertones,NA,Rich, Neutral Cool,Mishti,Mishti Magic
104470,231,#69391f,Pecan Perfect rich deep with Warm golden undertones,NA,Rich,Warm,Pecan,Pecan Perfect
104471,231,#843820,Sunny Sitafal deep w/ Neutral olive undertones,NA,Deep,Neutral,Sunny,Sunny Sunny
104472,231,#984c34,Kesar Pista deep w/ Warm olive undertones,NA,Deep,Warm,Kesar,Kesar Pista
104473,231,#ab5d3e,Lychee Licks tan-deep w/ olive undertones,NA,Deep,NA,Lychee,Lychee Licks
104474,231,#b56a4a,Falooda Fizz tan-deep w/ olive gold undertones,NA,Deep,NA,Falooda,Falooda Fizz
104475,231,#c87a54,Cherry Pick tan w/ gold undertones,NA,Tan ,NA,Cherry,Cherry Pick
104476,231,#cb8865,Glossy Guava tan w/ olive gold undertones,NA,Tan ,NA,Glossy,Glossy Guava
104477,231,#c98b58,Khoya Kisses tan with Neutral undertones,NA,Tan ,Neutral,Khoya,Khoya Kisses
104478,231,#d69b6b,Cinnamon Bby medium tan with Neutral undertones,NA,Medium Tan,Neutral,Cinnamon,Cinnamon Bby
104479,231,#dd9c7a,Pome Pome medium-tan w/ peach undertones,NA,Medium,Peach,Pome,Pome Pome
104480,231,#db9777,Mango Drop medium-tan w/ Neutral undertones,NA,Medium,Neutral,Mango,Mango Drop
104481,231,#e1a688,Extra Elaichi medium w/ gold undertones,NA,Medium,NA,Extra,Extra Elaichi
104482,231,#e7b7a4,Rose Rush medium w/ Warm undertones,NA,Medium,Warm,Rose,Rose Rush
104483,231,#f3bda1,Coco Crush light-medium w/ Neutral undertones,NA,Light,Neutral,Coco,Coco Crush
104484,231,#e0b994,Mitai Soul light-medium with subtle golden undertones,NA,Light,Golden,Mitai,Mitai Soul
104485,231,#efc0b0,Ice Ice Berry light w/ Neutral undertones,NA,Light,Neutral,Ice,Ice Ice
104486,231,#e6be9e,Misty Maple light with cool peachy pink undertones,NA,Light,Cool,Misty,Misty Maple
104487,231,#e9c7a7,Paan Party light with golden undertones,NA,Light,Golden,Paan,Paan Party
104488,231,#e4c3af,Bad Badaam very light with Neutral pink undertones,NA,Very Light,Neutral Pink,Bad,Bad Badaam
104489,231,#e6cfb9,Fudge Naach very light with Neutral undertones,NA,Very Light,Neutral,Fudge,Fudge Naach
104490,232,#d5c3b9,Light 002,002,Light,NA,Light,NA
104491,232,#d0aa93,Light 004,004,Light,NA,Light,NA
104492,232,#dab9aa,Light 006,006,Light,NA,Light,NA
104493,232,#caac90,Light 008,008,Light,NA,Light,NA
104494,232,#d0a690,Light 010,010,Light,NA,Light,NA
104495,232,#c79c7e,Light 012,012,Light,NA,Light,NA
104496,232,#d1a888,Light 015,015,Light,NA,Light,NA
104497,232,#c49e8b,Light 018,018,Light,NA,Light,NA
104498,232,#d2a87e,Light 021,021,Light,NA,Light,NA
104499,232,#cb9879,Light 024,024,Light,NA,Light,NA
104500,232,#be9e89,Medium 027,027,Medium,NA,Medium,NA
104501,232,#cd9e80,Medium 030,030,Medium,NA,Medium,NA
104502,232,#d0a680,Medium 033,033,Medium,NA,Medium,NA
104503,232,#d09c75,Medium 036,036,Medium,NA,Medium,NA
104504,232,#c09670,Medium 039,039,Medium,NA,Medium,NA
104505,232,#c98d68,Medium 042,042,Medium,NA,Medium,NA
104506,232,#b88663,Medium 045,045,Medium,NA,Medium,NA
104507,232,#c38e6f,Medium 048,048,Medium,NA,Medium,NA
104508,232,#c38f67,Medium 051,051,Medium,NA,Medium,NA
104509,232,#b68364,Medium 054,054,Medium,NA,Medium,NA
104510,232,#cca278,Tan 057,057,Tan ,NA,Tan,NA
104511,232,#bb906e,Tan 060,060,Tan ,NA,Tan,NA
104512,232,#b78763,Tan 063,063,Tan ,NA,Tan,NA
104513,232,#b37e5c,Tan 066,066,Tan ,NA,Tan,NA
104514,232,#ab7352,Tan 068,068,Tan ,NA,Tan,NA
104515,232,#a56647,Tan 070,070,Tan ,NA,Tan,NA
104516,232,#95593f,Tan 072,072,Tan ,NA,Tan,NA
104517,232,#84583d,Tan 074,074,Tan ,NA,Tan,NA
104518,232,#815641,Tan 076,076,Tan ,NA,Tan,NA
104519,232,#7c5140,Tan 078,078,Tan ,NA,Tan,NA
